isoform	isoLength	flCount	ratioIsoToGene	exonNum	annotation	GC	orfLength	orfIntegrity	pepLength	FickettScore	pI	codingP	codingLabel	canJuncRatio	sdJuncCov	withNovelJunc	minNovelJuncRPKM	bite	minJuncRPKM	nIndelsAroundJunc	ratioMinJuncCovToAllCov	nJuncsWithIndels	indelNearJunc
PB.10000.1	2083	20	1.0	4	annotated	49.928	1410	1	470	0.419	6.409	1.0	coding	1.0	15.895	False	0.0	False	0.172	0	0.145	0	False
PB.10001.1	3462	2	1.0	7	annotated	45.725	933	1	311	0.391	6.438	1.0	coding	1.0	27.193	False	0.0	False	0.043	0	0.022	0	False
PB.10003.1	1137	2	1.0	6	novel	56.025	669	1	223	0.445	9.051	0.999	coding	0.8	692.743	False	0.0	True	5.032	0	0.089	0	False
PB.10004.1	1224	6	1.0	8	novel	55.637	657	1	219	0.364	8.758	0.986	coding	1.0	35.831	True	1.345	True	0.828	0	0.077	0	False
PB.10005.1	3135	10	1.0	18	annotated	45.391	2667	1	889	0.464	5.006	1.0	coding	1.0	110.881	False	0.0	False	0.229	0	0.011	0	False
PB.10006.1	6537	35	0.729	40	annotated	44.959	5712	1	1904	0.476	8.506	1.0	coding	1.0	195.542	False	0.0	False	0.048	0	0.002	0	False
PB.10006.3	4829	2	0.042	33	novel	41.064	4194	1	1398	0.457	8.125	1.0	coding	1.0	210.052	False	0.0	False	0.087	0	0.003	0	False
PB.10006.4	4271	2	0.042	27	novel	41.068	3420	1	1140	0.457	6.685	1.0	coding	1.0	224.96	False	0.0	False	0.099	0	0.004	0	False
PB.10006.5	3934	3	0.062	25	novel	41.307	3420	1	1140	0.473	6.685	1.0	coding	1.0	227.828	False	0.0	False	0.236	0	0.008	0	False
PB.10006.6	3866	2	0.042	24	annotated	41.257	3420	1	1140	0.473	6.685	1.0	coding	1.0	230.019	False	0.0	False	0.24	0	0.008	0	False
PB.10006.7	4204	2	0.042	22	novel	40.771	3195	1	1065	0.49	6.462	1.0	coding	1.0	235.348	False	0.0	False	0.341	0	0.013	0	False
PB.10006.8	3464	2	0.042	20	novel	41.166	3195	1	1065	0.471	6.462	1.0	coding	1.0	241.796	False	0.0	False	0.414	0	0.014	0	False
PB.10007.1	1899	4	1.0	7	novel	50.079	1131	1	377	0.455	9.095	1.0	coding	1.0	47.157	False	0.0	False	1.112	0	0.106	0	False
PB.10008.1	4742	29	0.784	15	annotated	43.526	4068	1	1356	0.468	5.503	1.0	coding	1.0	87.182	False	0.0	False	0.058	0	0.013	0	False
PB.10008.2	4709	6	0.162	15	annotated	43.661	3378	1	1126	0.446	5.418	1.0	coding	1.0	87.677	False	0.0	False	0.058	0	0.013	0	False
PB.10008.3	3857	2	0.054	10	novel	42.209	3378	1	1126	0.478	5.418	1.0	coding	1.0	105.261	False	0.0	False	0.071	0	0.017	0	False
PB.10009.1	1255	3	0.6	9	annotated	48.367	993	1	331	0.477	5.642	1.0	coding	1.0	53.837	False	0.0	False	0.151	0	0.012	0	False
PB.10009.2	4663	2	0.4	5	novel	42.591	414	1	138	0.278	8.274	0.267	noncoding	0.75	34.419	False	0.0	True	0.041	0	0.075	0	False
PB.1001.1	1835	3	1.0	10	annotated	53.406	1290	1	430	0.475	8.355	1.0	coding	1.0	35.836	False	0.0	False	0.161	0	0.024	0	False
PB.10010.1	2277	10	1.0	14	annotated	52.833	1719	1	573	0.447	7.981	1.0	coding	1.0	108.985	False	0.0	False	0.223	0	0.018	0	False
PB.10011.1	2016	18	1.0	7	annotated	55.655	1251	1	417	0.375	6.355	1.0	coding	1.0	107.54	False	0.0	False	1.068	0	0.08	0	False
PB.10013.1	1493	4	0.167	13	annotated	46.551	1035	1	345	0.408	6.121	1.0	coding	1.0	595.662	False	0.0	False	2.531	0	0.018	0	False
PB.10013.2	1603	18	0.75	14	annotated	48.971	1035	1	345	0.427	6.121	1.0	coding	1.0	3018.924	False	0.0	False	2.357	0	0.008	0	False
PB.10013.3	502	2	0.083	3	novel	43.825	189	1	63	0.418	8.839	0.071	noncoding	1.0	2.5	False	0.0	False	15.812	0	0.497	0	False
PB.10014.1	731	8	1.0	4	novel	54.309	333	1	111	0.458	5.899	0.735	coding	1.0	442.561	True	34.021	False	34.021	0	0.229	0	False
PB.10015.1	1153	4	1.0	3	novel	62.099	762	1	254	0.414	9.473	0.999	coding	1.0	24.0	True	1.41	True	1.41	0	0.381	0	False
PB.10016.1	2436	4	1.0	2	annotated	64.409	1284	1	428	0.394	6.528	1.0	coding	1.0	0.0	False	0.0	False	0.156	0	1.0	0	False
PB.10017.1	1154	28	1.0	2	annotated	60.832	840	1	280	0.41	10.122	1.0	coding	1.0	0.0	False	0.0	False	14.379	0	1.0	0	False
PB.10018.1	1792	2	1.0	16	annotated	46.596	1425	1	475	0.492	9.289	1.0	coding	1.0	114.948	False	0.0	False	2.097	0	0.035	0	False
PB.10019.1	3949	15	1.0	14	annotated	53.406	3234	1	1078	0.402	7.887	1.0	coding	1.0	13.588	False	0.0	False	0.021	0	0.016	0	False
PB.1002.1	1465	8	1.0	10	annotated	52.15	1059	1	353	0.463	5.956	1.0	coding	1.0	64.758	False	0.0	False	0.807	0	0.042	0	False
PB.10026.1	2750	4	1.0	7	annotated	65.2	2271	1	757	0.403	5.95	1.0	coding	1.0	64.451	False	0.0	False	0.1	0	0.028	0	False
PB.10027.1	1863	19	1.0	13	annotated	50.081	1323	1	441	0.445	5.784	1.0	coding	1.0	183.999	False	0.0	False	1.281	0	0.026	0	False
PB.10028.1	2129	6	1.0	4	annotated	50.305	1464	1	488	0.449	8.728	1.0	coding	1.0	16.337	False	0.0	False	0.079	0	0.096	0	False
PB.10030.1	1761	5	1.0	9	annotated	58.092	1161	1	387	0.444	6.282	1.0	coding	1.0	45.951	False	0.0	False	0.096	0	0.018	0	False
PB.10031.1	2244	26	1.0	13	annotated	48.93	1752	1	584	0.42	7.029	1.0	coding	1.0	77.761	False	0.0	False	0.216	0	0.022	0	False
PB.10032.1	1280	3	1.0	9	novel	50.469	1032	1	344	0.445	5.134	1.0	coding	1.0	52.433	False	0.0	False	1.039	0	0.072	0	False
PB.10033.1	2520	2	1.0	4	annotated	56.825	2229	1	743	0.443	6.385	1.0	coding	1.0	10.231	False	0.0	False	0.042	0	0.093	0	False
PB.10034.1	1062	4	1.0	4	novel	57.062	543	1	181	0.395	5.225	0.995	coding	1.0	115.981	True	1.789	True	1.789	0	0.121	0	False
PB.10035.1	1752	6	1.0	7	annotated	48.402	1311	1	437	0.46	5.765	1.0	coding	1.0	57.292	False	0.0	False	0.602	0	0.071	0	False
PB.10036.3	1078	15	0.882	2	annotated	51.02	402	1	134	0.442	5.402	0.939	coding	1.0	0.0	False	0.0	False	12.867	0	1.0	0	False
PB.10038.1	1188	34	0.944	7	annotated	50.758	546	1	182	0.455	6.428	0.996	coding	1.0	751.209	False	0.0	False	11.8	0	0.068	0	False
PB.10038.4	690	2	0.056	6	novel	47.391	219	1	73	0.455	4.852	0.266	noncoding	1.0	569.423	False	0.0	False	20.316	0	0.096	0	False
PB.1004.1	1226	7	1.0	9	annotated	48.94	822	1	274	0.47	5.874	1.0	coding	1.0	79.865	False	0.0	False	1.291	0	0.057	0	False
PB.10040.1	3631	45	0.882	3	novel	46.681	2571	1	857	0.449	8.559	1.0	coding	1.0	2.0	True	0.302	False	0.302	0	0.481	0	False
PB.10040.3	3393	2	0.039	3	novel	46.684	2571	1	857	0.452	8.559	1.0	coding	1.0	0.0	True	0.324	False	0.324	0	1.0	0	False
PB.10040.4	4360	2	0.039	2	novel	44.564	2571	1	857	0.46	8.559	1.0	coding	1.0	0.0	True	0.252	False	0.252	0	1.0	0	False
PB.10040.5	3855	2	0.039	2	novel	42.62	2571	1	857	0.488	8.559	1.0	coding	1.0	0.0	True	0.307	False	0.307	0	1.0	0	False
PB.10042.1	1895	2	1.0	2	annotated	56.675	1491	1	497	0.459	9.524	1.0	coding	1.0	0.0	False	0.0	False	0.68	0	1.0	0	False
PB.10043.1	1541	2	0.4	7	annotated	49.838	846	1	282	0.399	9.202	1.0	coding	1.0	26.141	False	0.0	False	1.411	0	0.11	0	False
PB.10043.2	3673	3	0.6	6	novel	43.97	582	1	194	0.298	9.835	0.648	coding	1.0	27.918	False	0.0	False	0.592	0	0.134	0	False
PB.10044.1	2093	13	1.0	11	annotated	49.881	1650	1	550	0.479	6.246	1.0	coding	1.0	11.743	False	0.0	False	0.091	0	0.045	0	False
PB.10045.1	879	19	0.864	5	annotated	49.829	510	1	141	0.452	5.34	0.964	coding	1.0	3513.089	False	0.0	False	33.72	0	0.062	0	False
PB.10045.3	618	3	0.136	3	novel	50.0	510	1	121	0.457	6.188	0.828	coding	1.0	848.0	False	0.0	False	47.962	0	0.312	0	False
PB.10046.1	1371	3	1.0	3	novel	57.476	1134	1	378	0.412	6.128	1.0	coding	1.0	1.5	False	0.0	False	0.293	0	0.463	0	False
PB.10047.1	1239	3	1.0	2	annotated	67.312	984	1	328	0.39	4.876	1.0	coding	1.0	0.0	False	0.0	False	0.613	0	1.0	0	False
PB.10048.1	2005	3	1.0	10	annotated	60.249	1605	1	535	0.393	8.766	1.0	coding	1.0	9.983	False	0.0	False	0.074	0	0.039	0	False
PB.10049.1	1005	2	1.0	5	annotated	48.06	672	1	224	0.473	5.365	1.0	coding	1.0	81.096	False	0.0	False	0.567	0	0.055	0	False
PB.1005.1	946	11	1.0	5	novel	51.691	573	1	191	0.414	9.681	0.984	coding	0.75	542.47	True	4.419	True	4.419	0	0.064	0	False
PB.10050.1	1082	3	1.0	8	novel	49.445	645	1	215	0.445	7.652	0.999	coding	1.0	43.801	True	0.78	False	0.78	0	0.045	0	False
PB.10053.1	1966	5	0.455	8	annotated	53.408	1281	1	427	0.452	5.929	1.0	coding	1.0	83.229	False	0.0	False	0.709	0	0.041	0	False
PB.10053.2	1903	3	0.273	8	annotated	54.23	1281	1	427	0.453	5.929	1.0	coding	1.0	48.214	False	0.0	False	2.319	0	0.114	0	False
PB.10053.3	1605	3	0.273	7	novel	55.763	1281	1	427	0.445	5.929	1.0	coding	1.0	52.01	False	0.0	False	2.749	0	0.134	0	False
PB.10055.1	1097	12	1.0	9	novel	48.222	822	1	274	0.437	6.751	1.0	coding	1.0	434.337	False	0.0	False	2.656	0	0.022	0	False
PB.10056.1	1636	5	1.0	2	annotated	66.809	1407	1	469	0.419	6.293	1.0	coding	1.0	0.0	False	0.0	False	0.039	0	1.0	0	False
PB.10058.1	2084	6	1.0	16	annotated	51.056	1545	1	515	0.472	7.067	1.0	coding	1.0	48.381	False	0.0	False	0.122	0	0.014	0	False
PB.1006.1	1092	53	1.0	2	annotated	58.516	786	1	262	0.414	11.085	0.999	coding	1.0	0.0	False	0.0	False	11.232	0	1.0	0	False
PB.10060.1	1809	4	1.0	6	annotated	49.641	1224	1	408	0.433	6.308	1.0	coding	1.0	66.226	False	0.0	False	0.21	0	0.058	0	False
PB.10063.1	571	82	0.953	2	annotated	52.189	237	1	79	0.395	9.008	0.118	noncoding	1.0	0.0	False	0.0	False	485.376	0	1.0	0	False
PB.10064.1	1945	4	1.0	7	novel	53.419	1473	1	491	0.402	6.117	1.0	coding	1.0	23.956	False	0.0	False	0.033	0	0.015	0	False
PB.10065.2	1602	81	0.92	14	annotated	49.563	1266	1	422	0.453	4.472	1.0	coding	1.0	7743.25	False	0.0	False	8.434	0	0.006	0	False
PB.10065.3	492	2	0.023	6	novel	49.39	144	1	48	0.468	13.044	0.057	noncoding	1.0	9605.749	False	0.0	False	128.513	0	0.05	0	False
PB.10065.5	1184	5	0.057	11	annotated	50.084	1110	-1	370	0.435	4.78	0.892	coding	1.0	8408.044	False	0.0	False	11.412	0	0.006	0	False
PB.10066.1	1434	13	0.867	2	novel	52.162	900	1	300	0.433	6.165	1.0	coding	1.0	0.0	True	8.127	True	8.127	0	1.0	0	False
PB.10066.2	1388	2	0.133	3	novel	50.865	900	1	300	0.408	6.165	1.0	coding	1.0	4.0	True	0.624	True	0.624	0	0.456	0	False
PB.10067.1	1915	3	1.0	6	annotated	52.846	1296	1	432	0.423	6.329	1.0	coding	1.0	15.967	False	0.0	False	0.099	0	0.064	0	False
PB.10069.1	1501	5	0.714	10	annotated	54.031	1050	1	350	0.414	5.013	1.0	coding	0.889	50.603	False	0.0	False	0.745	0	0.057	0	False
PB.10069.2	3416	2	0.286	11	novel	48.536	759	1	253	0.353	4.788	1.0	coding	0.9	56.092	False	0.0	False	0.192	0	0.034	0	False
PB.1007.1	3853	58	0.866	3	novel	47.547	2619	1	873	0.461	4.619	1.0	coding	1.0	15.5	True	0.384	True	0.384	0	0.409	0	False
PB.1007.6	3483	9	0.134	2	novel	45.65	2073	1	691	0.47	4.487	1.0	coding	1.0	0.0	False	0.0	False	0.612	0	1.0	0	False
PB.10071.1	1580	6	1.0	5	annotated	63.165	1332	1	444	0.419	5.809	1.0	coding	1.0	8.732	False	0.0	False	0.842	0	0.211	0	False
PB.10072.1	1499	5	1.0	5	novel	59.306	1329	1	443	0.441	6.019	1.0	coding	1.0	10.012	False	0.0	False	0.169	0	0.133	0	False
PB.10073.1	1181	10	1.0	4	annotated	57.155	921	1	307	0.449	5.957	1.0	coding	1.0	24.712	False	0.0	False	1.019	0	0.209	0	False
PB.10074.1	1581	7	1.0	8	annotated	47.312	1149	1	383	0.454	5.277	1.0	coding	1.0	22.944	False	0.0	False	0.187	0	0.05	0	False
PB.10075.1	3986	85	0.977	12	novel	54.666	3285	1	1095	0.438	7.803	1.0	coding	1.0	76.183	False	0.0	False	0.048	0	0.015	0	False
PB.10075.4	3463	2	0.023	13	novel	53.249	2970	1	990	0.455	8.772	1.0	coding	0.917	76.183	False	0.0	True	0.055	0	0.015	0	False
PB.10076.1	4058	2	1.0	17	novel	44.086	894	1	298	0.37	7.643	1.0	coding	1.0	13.365	False	0.0	False	0.021	0	0.009	0	False
PB.10077.1	2100	32	1.0	2	annotated	56.238	1680	1	560	0.445	5.736	1.0	coding	1.0	0.0	False	0.0	False	1.307	0	1.0	0	False
PB.10079.1	1950	2	0.5	5	annotated	47.692	1491	1	497	0.442	5.965	1.0	coding	1.0	29.735	False	0.0	False	0.13	0	0.062	0	False
PB.10079.2	1873	2	0.5	5	annotated	46.77	1491	1	497	0.461	5.965	1.0	coding	1.0	30.676	False	0.0	False	0.101	0	0.047	0	False
PB.10080.1	4634	2	0.25	5	novel	42.598	3777	1	1259	0.479	6.396	1.0	coding	1.0	2.165	True	0.023	True	0.009	0	0.095	0	False
PB.10080.2	4845	2	0.25	6	novel	43.055	3777	1	1259	0.456	6.396	1.0	coding	1.0	2.55	True	0.022	True	0.004	0	0.05	0	False
PB.10080.3	4630	2	0.25	5	novel	42.808	3777	1	1259	0.464	6.396	1.0	coding	1.0	2.55	True	0.023	True	0.005	0	0.05	0	False
PB.10080.4	3605	2	0.25	4	novel	40.499	3408	1	1136	0.484	6.26	1.0	coding	1.0	1.247	True	0.029	True	0.029	0	0.263	0	False
PB.10081.1	2397	6	1.0	5	annotated	48.769	1620	1	540	0.445	8.614	1.0	coding	1.0	7.462	False	0.0	False	0.123	0	0.182	0	False
PB.10082.1	5074	3	0.231	3	annotated	41.88	717	1	239	0.342	5.289	0.999	coding	1.0	4.5	False	0.0	False	0.096	0	0.418	0	False
PB.10082.3	5221	6	0.462	2	annotated	41.659	717	1	239	0.342	5.289	0.999	coding	1.0	0.0	False	0.0	False	0.129	0	1.0	0	False
PB.10082.4	4219	4	0.308	3	annotated	41.076	717	1	239	0.357	5.289	1.0	coding	1.0	14.0	False	0.0	False	0.02	0	0.111	0	False
PB.10083.1	1808	5	0.714	2	annotated	52.71	1593	1	531	0.446	5.859	1.0	coding	1.0	0.0	False	0.0	False	0.163	0	1.0	0	False
PB.10084.1	4629	4	1.0	9	annotated	46.468	3861	1	1287	0.468	5.423	1.0	coding	1.0	5.673	False	0.0	False	0.023	0	0.051	0	False
PB.10089.1	1711	12	1.0	9	annotated	54.179	1338	1	446	0.437	8.782	1.0	coding	1.0	578.44	False	0.0	False	0.494	0	0.017	0	False
PB.10090.1	1159	8	1.0	7	annotated	50.216	699	1	233	0.436	6.605	1.0	coding	1.0	432.376	False	0.0	False	1.33	0	0.027	0	False
PB.10091.1	2914	2	1.0	21	annotated	46.5	2589	1	863	0.452	8.051	1.0	coding	1.0	51.982	False	0.0	False	0.145	0	0.015	0	False
PB.10092.1	1074	2	1.0	6	annotated	49.814	762	1	254	0.444	8.392	1.0	coding	1.0	76.608	False	0.0	False	0.629	0	0.05	0	False
PB.10094.2	2372	14	0.875	12	annotated	48.398	1527	1	509	0.474	9.0	1.0	coding	1.0	31.381	False	0.0	False	0.32	0	0.047	0	False
PB.10094.4	3600	2	0.125	11	annotated	44.75	1017	1	339	0.424	8.569	1.0	coding	1.0	19.798	False	0.0	False	0.211	0	0.058	0	False
PB.10096.1	916	9	1.0	3	annotated	53.821	501	1	167	0.441	9.668	0.973	coding	1.0	18.0	False	0.0	False	1.198	0	0.371	0	False
PB.10097.1	4640	2	0.036	5	annotated	47.802	3351	1	1117	0.451	7.314	1.0	coding	1.0	23.941	False	0.0	False	0.014	0	0.027	0	False
PB.10097.2	4185	51	0.927	4	novel	46.117	3351	1	1117	0.462	7.314	1.0	coding	1.0	21.929	False	0.0	False	0.03	0	0.055	0	False
PB.10097.7	1977	2	0.036	3	novel	44.512	1644	-1	548	0.446	9.429	0.945	coding	1.0	4.0	False	0.0	False	0.513	0	0.462	0	False
PB.10098.1	1654	2	1.0	9	annotated	51.088	1002	1	334	0.475	5.046	1.0	coding	1.0	491.52	False	0.0	False	1.213	0	0.028	0	False
PB.10099.1	2138	20	0.909	11	annotated	47.1	1506	1	502	0.46	8.232	1.0	coding	1.0	62.766	False	0.0	False	0.237	0	0.026	0	False
PB.10099.2	1960	2	0.091	12	annotated	47.143	1506	1	502	0.45	8.232	1.0	coding	1.0	64.459	False	0.0	False	0.086	0	0.009	0	False
PB.101.1	2225	148	1.0	10	annotated	46.157	1872	1	624	0.459	7.287	1.0	coding	1.0	83.38	False	0.0	False	1.926	0	0.073	0	False
PB.1010.3	945	3	0.009	2	novel	60.106	414	1	138	0.485	7.681	0.935	coding	0.0	0.0	False	0.0	True	0.0	0	0.0	0	False
PB.10100.1	1026	4	1.0	2	annotated	56.628	783	1	261	0.449	11.085	1.0	coding	1.0	0.0	False	0.0	False	0.658	0	1.0	0	False
PB.10101.1	2552	85	0.773	14	annotated	50.431	1830	1	610	0.446	6.048	1.0	coding	1.0	410.494	False	0.0	False	3.433	0	0.028	0	False
PB.10101.3	2154	4	0.036	13	novel	47.354	1749	1	583	0.491	5.837	1.0	coding	1.0	418.276	False	0.0	False	4.067	0	0.03	0	False
PB.10101.6	2524	21	0.191	14	annotated	51.387	1830	1	610	0.448	6.048	1.0	coding	1.0	490.615	False	0.0	False	0.82	0	0.007	0	False
PB.10103.1	1237	3	1.0	3	novel	44.22	786	1	262	0.468	4.673	1.0	coding	1.0	43.5	True	2.577	True	1.092	0	0.298	0	False
PB.10105.1	2307	3	0.375	3	novel	41.092	975	1	325	0.423	8.323	1.0	coding	1.0	18.5	True	1.455	True	1.455	0	0.448	0	False
PB.10105.3	2385	2	0.25	2	novel	41.174	1272	1	424	0.422	9.177	1.0	coding	1.0	0.0	True	1.407	False	1.407	0	1.0	0	False
PB.10106.3	5488	16	0.8	39	annotated	42.529	4521	1	1507	0.477	8.202	1.0	coding	1.0	42.716	False	0.0	False	0.012	0	0.002	0	False
PB.10106.4	4380	2	0.1	35	novel	40.959	4014	1	1338	0.494	8.446	1.0	coding	1.0	44.834	False	0.0	False	0.014	0	0.002	0	False
PB.10106.5	4069	2	0.1	32	annotated	40.944	3645	1	1215	0.508	8.24	1.0	coding	1.0	39.492	False	0.0	False	0.016	0	0.003	0	False
PB.10108.1	5990	2	1.0	21	novel	43.74	5169	1	1723	0.439	6.368	1.0	coding	1.0	1.963	False	0.0	False	0.004	0	0.03	0	False
PB.10109.1	1551	145	0.96	2	annotated	59.317	513	1	171	0.386	9.725	0.908	coding	1.0	0.0	False	0.0	False	3.607	0	1.0	0	False
PB.10109.2	1138	3	0.02	3	novel	58.26	513	1	171	0.371	9.725	0.865	coding	1.0	123.5	True	0.334	True	0.334	0	0.064	0	False
PB.1011.1	2145	7	0.778	4	novel	51.562	780	1	260	0.465	5.532	1.0	coding	0.667	7.5	False	0.0	True	0.03	0	0.143	0	False
PB.10110.1	4183	62	0.886	14	annotated	47.071	3261	1	1087	0.447	6.333	1.0	coding	1.0	43.987	False	0.0	False	0.061	0	0.021	0	False
PB.10110.3	3491	3	0.043	12	novel	44.772	2883	1	961	0.463	8.021	1.0	coding	1.0	46.73	False	0.0	False	0.073	0	0.022	0	False
PB.10110.7	2296	5	0.071	11	annotated	51.176	2040	-1	680	0.459	6.526	0.999	coding	1.0	48.181	False	0.0	False	0.11	0	0.026	0	False
PB.10112.1	1720	9	1.0	8	annotated	46.919	1107	1	369	0.477	6.025	1.0	coding	1.0	99.907	False	0.0	False	0.516	0	0.049	0	False
PB.10113.1	2868	3	0.6	2	novel	53.975	2049	1	683	0.436	5.726	1.0	coding	1.0	0.0	True	0.118	False	0.118	0	1.0	0	False
PB.10114.1	2531	11	0.846	3	annotated	56.618	1965	1	655	0.455	8.045	1.0	coding	1.0	66.5	False	0.0	False	0.1	0	0.076	0	False
PB.10114.4	2112	2	0.154	2	novel	57.907	1899	-1	633	0.485	6.444	0.998	coding	1.0	0.0	False	0.0	False	1.449	0	1.0	0	False
PB.10117.1	1657	2	1.0	8	annotated	46.228	984	1	328	0.367	6.399	1.0	coding	1.0	49.399	False	0.0	False	0.255	0	0.053	0	False
PB.10118.1	1957	2	1.0	9	novel	46.346	1254	1	418	0.429	5.193	1.0	coding	1.0	97.974	False	0.0	False	0.518	0	0.046	0	False
PB.10119.1	3497	27	1.0	10	annotated	46.669	2655	1	885	0.47	8.597	1.0	coding	1.0	33.047	False	0.0	False	0.133	0	0.05	0	False
PB.1012.1	2312	696	0.976	2	annotated	56.445	1950	1	650	0.409	5.131	1.0	coding	1.0	0.0	False	0.0	False	25.567	0	1.0	0	False
PB.10120.1	2201	26	0.929	9	annotated	51.477	1554	1	518	0.444	6.226	1.0	coding	1.0	70.62	False	0.0	False	0.652	0	0.055	0	False
PB.10120.2	2131	2	0.071	8	novel	50.446	1314	1	438	0.426	6.396	1.0	coding	1.0	75.366	False	0.0	False	0.674	0	0.062	0	False
PB.10121.1	522	8	1.0	3	novel	50.0	159	1	53	0.4	8.431	0.032	noncoding	1.0	4696.5	True	102.2	True	102.2	0	0.175	0	False
PB.10122.11	4119	2	0.038	14	annotated	45.933	2652	1	884	0.475	8.483	1.0	coding	1.0	119.6	False	0.0	False	0.097	0	0.01	0	False
PB.10122.13	5000	2	0.038	13	novel	45.42	2649	1	883	0.47	8.483	1.0	coding	1.0	129.758	False	0.0	False	0.068	0	0.01	0	False
PB.10122.2	3721	24	0.462	16	annotated	47.245	3105	1	1035	0.456	8.147	1.0	coding	1.0	117.16	False	0.0	False	0.108	0	0.009	0	False
PB.10122.3	3509	8	0.154	17	annotated	47.592	2967	1	989	0.454	8.638	1.0	coding	1.0	116.563	False	0.0	False	0.114	0	0.009	0	False
PB.10122.4	3507	2	0.038	17	novel	47.534	2631	1	877	0.446	8.757	1.0	coding	1.0	118.736	False	0.0	False	0.078	0	0.006	0	False
PB.10122.5	4847	2	0.038	14	annotated	45.575	2841	1	947	0.472	8.243	1.0	coding	1.0	123.713	False	0.0	False	0.083	0	0.01	0	False
PB.10122.7	3532	5	0.096	17	annotated	47.593	2991	1	997	0.456	8.549	1.0	coding	1.0	116.676	False	0.0	False	0.114	0	0.009	0	False
PB.10122.8	3837	5	0.096	15	annotated	46.938	2916	1	972	0.463	8.442	1.0	coding	1.0	117.76	False	0.0	False	0.105	0	0.01	0	False
PB.10122.9	3776	2	0.038	11	novel	44.306	1878	1	626	0.467	7.162	1.0	coding	1.0	131.015	False	0.0	False	0.106	0	0.012	0	False
PB.10123.1	681	7	1.0	4	annotated	44.787	318	1	106	0.415	10.249	0.438	noncoding	1.0	95.67	False	0.0	False	6.851	0	0.238	0	False
PB.10124.1	1427	46	0.958	3	annotated	62.299	873	1	291	0.385	7.687	1.0	coding	1.0	81.5	False	0.0	False	2.441	0	0.335	0	False
PB.10125.1	1264	2	1.0	3	annotated	62.737	867	1	289	0.406	8.384	1.0	coding	1.0	3.5	False	0.0	False	0.334	0	0.426	0	False
PB.10127.1	2253	8	1.0	5	annotated	47.581	2025	1	675	0.445	9.151	1.0	coding	1.0	55.997	False	0.0	False	0.159	0	0.063	0	False
PB.10129.1	571	6	1.0	4	novel	47.636	246	1	82	0.431	9.753	0.234	noncoding	1.0	364.945	False	0.0	False	13.643	0	0.142	0	False
PB.1013.1	1972	2	1.0	2	annotated	60.751	1026	1	342	0.377	9.048	1.0	coding	1.0	0.0	False	0.0	False	0.321	0	1.0	0	False
PB.10130.1	1461	3	1.0	7	annotated	47.159	1059	1	353	0.454	8.721	1.0	coding	1.0	48.771	False	0.0	False	0.708	0	0.06	0	False
PB.10131.1	3492	2	0.05	9	annotated	44.96	3153	1	1051	0.463	6.473	1.0	coding	1.0	15.108	False	0.0	False	0.054	0	0.044	0	False
PB.10131.2	3885	14	0.35	10	novel	46.384	3291	1	1097	0.451	6.589	1.0	coding	1.0	14.553	False	0.0	False	0.049	0	0.041	0	False
